acceleration,topspeed,erange_real,efficiency,fastcharge_speed hidden,model,battery,car_link,car_oem,market_segment
5.7,180,280,175,430.0,EX30,49.0,https://ev-database.org/car/1909/Volvo-EX30-Single-Motor,Volvo,B
10.2,145,345,223,480.0,ID.,77.0,https://ev-database.org/car/1651/Volkswagen-ID-Buzz-Pro,Volkswagen,N
5.2,220,485,196,970.0,Macan,95.0,https://ev-database.org/car/2084/Porsche-Macan-4-Electric,Porsche,D
3.8,200,500,188,670.0,001,94.0,https://ev-database.org/car/1934/Zeekr-001-Performance-AWD,Zeekr,E
7.3,160,350,166,450.0,ID.3,58.0,https://ev-database.org/car/1831/Volkswagen-ID3-Pro,Volkswagen,C
3.5,260,360,206,940.0,EV6,74.0,https://ev-database.org/car/1471/Kia-EV6-GT,Kia,C
4.6,200,505,208,680.0,iX,105.2,https://ev-database.org/car/1473/BMW-iX-xDrive50,BMW,E
11.4,135,315,165,230.0,Zoe,52.0,https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110,Renault,B
5.1,185,440,168,1150.0,IONIQ,74.0,https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD,Hyundai,D
7.0,160,450,171,630.0,Born,77.0,https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh,CUPRA,C
9.2,170,320,159,510.0,Astra,50.8,https://ev-database.org/car/1792/Opel-Astra-Electric,Opel,C
3.4,260,385,208,950.0,IONIQ,80.0,https://ev-database.org/car/2044/Hyundai-IONIQ-5-N,Hyundai,C
5.6,200,505,210,640.0,Q8,106.0,https://ev-database.org/car/1770/Audi-Q8-e-tron-55-quattro,Audi,E
7.2,200,525,179,710.0,001,94.0,https://ev-database.org/car/1933/Zeekr-001-Long-Range-RWD,Zeekr,E
6.0,193,470,173,750.0,i5,81.2,https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan,BMW,E
6.1,210,635,171,950.0,EQS,108.4,https://ev-database.org/car/2008/Mercedes-Benz-EQS-450plus,Mercedes-Benz,F
5.3,180,430,184,690.0,Explorer,79.0,https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD,Ford,C
6.7,180,420,183,630.0,Q4,77.0,https://ev-database.org/car/2013/Audi-Q4-e-tron-45,Audi,C
8.7,170,385,190,440.0,e-3008,73.0,https://ev-database.org/car/2003/Peugeot-e-3008-73-kWh,Peugeot,C
